SKU_Code,Design_No.,Stock,Category,Size,Color
SET075-KR-DH-XS,SET075,2,kurta set,XS,pink
SET075-KR-DH-XXXL,SET075,1,kurta set,XXXL,pink
SET078-KR-NP-S,SET078,3,set,S,multicolor
SET078-KR-NP-XS,SET078,1,set,XS,multicolor
SET083-KR-PP-L,SET083,2,kurta set,L,navy blue
SET083-KR-PP-S,SET083,6,kurta set,S,navy blue
SET083-KR-PP-XL,SET083,1,kurta set,XL,navy blue
SET083-KR-PP-XS,SET083,36,kurta set,XS,navy blue
SET083-KR-PP-XXL,SET083,2,kurta set,XXL,navy blue
SET085-KR-PT-XS,SET085,2,kurta set,XS,sea green
SET087-KR-PP-L,SET087,3,kurta set,L,grey
SET087-KR-PP-M,SET087,4,kurta set,M,grey
SET087-KR-PP-S,SET087,30,kurta set,S,grey
SET087-KR-PP-XL,SET087,2,kurta set,XL,grey
SET087-KR-PP-XS,SET087,4,kurta set,XS,grey
SET087-KR-PP-XXL,SET087,9,kurta set,XXL,grey
SET087-KR-PP-XXXL,SET087,3,kurta set,XXXL,grey
SET091-KR-NP-L,SET091,1,set,L,beige
SET091-KR-NP-M,SET091,1,set,M,beige
SET091-KR-NP-S,SET091,3,set,S,beige
SET091-KR-NP-XL,SET091,1,set,XL,beige
SET091-KR-NP-XS,SET091,5,set,XS,beige
SET091-KR-NP-XXL,SET091,1,set,XXL,beige
SET094-KR-NP-L,SET094,9,kurta set,L,turquoise green
SET094-KR-NP-M,SET094,10,kurta set,M,turquoise green
SET094-KR-NP-S,SET094,13,kurta set,S,turquoise green
SET094-KR-NP-XL,SET094,41,kurta set,XL,turquoise green
SET094-KR-NP-XS,SET094,2,kurta set,XS,turquoise green
SET094-KR-NP-XXL,SET094,58,kurta set,XXL,turquoise green
SET094-KR-NP-XXXL,SET094,8,kurta set,XXXL,turquoise green
SET097-KR-PP-L,SET097,13,kurta set,L,mustard
SET097-KR-PP-M,SET097,30,kurta set,M,mustard
SET097-KR-PP-S,SET097,17,kurta set,S,mustard
SET097-KR-PP-XL,SET097,25,kurta set,XL,mustard
SET097-KR-PP-XS,SET097,57,kurta set,XS,mustard
SET097-KR-PP-XXL,SET097,1,kurta set,XXL,mustard
SET097-KR-PP-XXXL,SET097,6,kurta set,XXXL,mustard
SET098-KR-PP-L,SET098,66,kurta set,L,navy blue
SET098-KR-PP-M,SET098,163,kurta set,M,navy blue
SET098-KR-PP-S,SET098,53,kurta set,S,navy blue
SET098-KR-PP-XL,SET098,50,kurta set,XL,navy blue
SET098-KR-PP-XS,SET098,132,kurta set,XS,navy blue
SET098-KR-PP-XXL,SET098,16,kurta set,XXL,navy blue
SET098-KR-PP-XXXL,SET098,25,kurta set,XXXL,navy blue
SET100-KR-PP-L,SET100,3,kurta set,L,light green
SET100-KR-PP-M,SET100,3,kurta set,M,light green
SET100-KR-PP-S,SET100,22,kurta set,S,light green
SET100-KR-PP-XL,SET100,2,kurta set,XL,light green
SET100-KR-PP-XS,SET100,40,kurta set,XS,light green
SET100-KR-PP-XXL,SET100,2,kurta set,XXL,light green
SET102-KR-PP-L,SET102,1,set,L,navy blue
SET102-KR-PP-XL,SET102,1,set,XL,navy blue
SET102-KR-PP-XXL,SET102,2,set,XXL,navy blue
SET102-KR-PP-XXXL,SET102,1,set,XXXL,navy blue
SET110-KR-PP-L,SET110,5,kurta set,L,black
SET110-KR-PP-M,SET110,9,kurta set,M,black
SET110-KR-PP-S,SET110,37,kurta set,S,black
SET110-KR-PP-XL,SET110,2,kurta set,XL,black
SET110-KR-PP-XS,SET110,47,kurta set,XS,black
SET110-KR-PP-XXL,SET110,9,kurta set,XXL,black
SET110-KR-PP-XXXL,SET110,44,kurta set,XXXL,black
SET116-KR-NP-L,SET116,3,kurta set,L,yellow
SET116-KR-NP-S,SET116,4,kurta set,S,yellow
SET116-KR-NP-XL,SET116,3,kurta set,XL,yellow
