SKU_Code,Design_No.,Stock,Category,Size,Color
SET211-KR-DPT-XL,SET211,1,kurta set,XL,teal
SET211-KR-DPT-XS,SET211,2,kurta set,XS,teal
SET211-KR-DPT-XXL,SET211,3,kurta set,XXL,teal
SET211-KR-DPT-XXXL,SET211,1,kurta set,XXXL,teal
SET213-KR-DPT-XXL,SET213,2,kurta set,XXL,grey
SET214-KR-DPT-L,SET214,2,kurta set,L,mustard
SET214-KR-DPT-M,SET214,1,kurta set,M,mustard
SET214-KR-DPT-XL,SET214,2,kurta set,XL,mustard
SET214-KR-DPT-XS,SET214,2,kurta set,XS,mustard
SET214-KR-DPT-XXL,SET214,3,kurta set,XXL,mustard
SET214-KR-DPT-XXXL,SET214,2,kurta set,XXXL,mustard
SET216-KR-PP-M,SET216,3,kurta set,M,light green
SET216-KR-PP-S,SET216,3,kurta set,S,light green
SET216-KR-PP-XL,SET216,2,kurta set,XL,light green
SET216-KR-PP-XXL,SET216,1,kurta set,XXL,light green
SET217-KR-PP-L,SET217,3,kurta set,L,sea green
SET217-KR-PP-M,SET217,7,kurta set,M,sea green
SET217-KR-PP-S,SET217,10,kurta set,S,sea green
